individual,gen,treatment,treat,day,mortality
G1C_1,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_2,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_3,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_4,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_5,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_6,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_7,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_8,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_9,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_10,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_11,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_12,Gen1:C,control,Gen1:Ccontrol,1,1
G1C_1,Gen1:C,infected,Gen1:Cheat,1,1
G1C_2,Gen1:C,infected,Gen1:Cheat,1,1
G1C_3,Gen1:C,infected,Gen1:Cheat,1,1
G1C_4,Gen1:C,infected,Gen1:Cheat,1,1
G1C_5,Gen1:C,infected,Gen1:Cheat,1,1
G1C_6,Gen1:C,infected,Gen1:Cheat,1,1
G1C_7,Gen1:C,infected,Gen1:Cheat,1,1
G1C_8,Gen1:C,infected,Gen1:Cheat,1,1
G1C_9,Gen1:C,infected,Gen1:Cheat,1,1
G1C_10,Gen1:C,infected,Gen1:Cheat,1,1
G1C_11,Gen1:C,infected,Gen1:Cheat,1,1
G1C_12,Gen1:C,infected,Gen1:Cheat,1,1
G1C_1,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_2,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_3,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_4,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_5,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_6,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_7,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_8,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_9,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_10,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_11,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_12,Gen1:C,control,Gen1:Ccontrol,2,1
G1C_1,Gen1:C,infected,Gen1:Cheat,2,1
G1C_2,Gen1:C,infected,Gen1:Cheat,2,1
G1C_3,Gen1:C,infected,Gen1:Cheat,2,1
G1C_4,Gen1:C,infected,Gen1:Cheat,2,1
G1C_5,Gen1:C,infected,Gen1:Cheat,2,1
G1C_6,Gen1:C,infected,Gen1:Cheat,2,1
G1C_7,Gen1:C,infected,Gen1:Cheat,2,1
G1C_8,Gen1:C,infected,Gen1:Cheat,2,1
G1C_9,Gen1:C,infected,Gen1:Cheat,2,1
G1C_10,Gen1:C,infected,Gen1:Cheat,2,1
G1C_11,Gen1:C,infected,Gen1:Cheat,2,1
G1C_12,Gen1:C,infected,Gen1:Cheat,2,1
G1C_1,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_2,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_3,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_4,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_5,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_6,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_7,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_8,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_9,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_10,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_11,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_12,Gen1:C,control,Gen1:Ccontrol,3,1
G1C_1,Gen1:C,infected,Gen1:Cheat,3,1
G1C_2,Gen1:C,infected,Gen1:Cheat,3,1
G1C_3,Gen1:C,infected,Gen1:Cheat,3,1
G1C_4,Gen1:C,infected,Gen1:Cheat,3,1
G1C_5,Gen1:C,infected,Gen1:Cheat,3,1
G1C_6,Gen1:C,infected,Gen1:Cheat,3,1
G1C_7,Gen1:C,infected,Gen1:Cheat,3,1
G1C_8,Gen1:C,infected,Gen1:Cheat,3,1
G1C_9,Gen1:C,infected,Gen1:Cheat,3,1
G1C_10,Gen1:C,infected,Gen1:Cheat,3,1
G1C_11,Gen1:C,infected,Gen1:Cheat,3,1
