sample_id,gen,sym,tank,treatment,day,pam_1,pam_2,pam_3,FvFM
eca-h1,eca-h,c,1,control,1,0.444,0.55,0.56,0.518
eca-h2,eca-h,c,2,control,1,0.641,0.635,0.605,0.627
eca-h3,eca-h,c,3,control,1,0.593,0.575,0.631,0.599666667
eca-h4,eca-h,c,1,heat,1,0.72,0.643,0.604,0.655666667
eca-h5,eca-h,c,2,heat,1,0.599,0.591,0.618,0.602666667
eca-h6,eca-h,c,3,heat,1,0.584,0.521,0.634,0.579666667
ora-pg1,ora-pg,d,1,control,1,0.517,0.616,0.533,0.555333333
ora-pg2,ora-pg,d,2,control,1,0.63,0.624,0.646,0.633333333
ora-pg3,ora-pg,d,3,control,1,0.564,0.586,0.548,0.566
ora-pg4,ora-pg,d,1,heat,1,0.566,0.453,0.573,0.530666667
ora-pg5,ora-pg,d,2,heat,1,0.562,0.544,0.577,0.561
ora-pg6,ora-pg,d,3,heat,1,0.477,0.574,0.603,0.551333333
ecg1,ecg,d,1,control,1,0.506,0.545,0.605,0.552
ecg2,ecg,d,2,control,1,0.563,0.483,0.648,0.564666667
ecg3,ecg,d,3,control,1,0.564,0.535,0.52,0.539666667
ecg4,ecg,d,1,heat,1,0.628,0.612,0.541,0.593666667
ecg5,ecg,d,2,heat,1,0.52,0.611,0.581,0.570666667
ecg6,ecg,d,3,heat,1,0.526,0.451,0.59,0.522333333
eca-h1,eca-h,c,1,control,2,0.567,0.587,0.611,0.588333333
eca-h2,eca-h,c,2,control,2,0.587,0.597,0.599,0.594333333
eca-h3,eca-h,c,3,control,2,0.608,0.599,0.613,0.606666667
eca-h4,eca-h,c,1,heat,2,0.578,0.592,0.592,0.587333333
eca-h5,eca-h,c,2,heat,2,0.581,0.594,0.623,0.599333333
eca-h6,eca-h,c,3,heat,2,0.594,0.607,0.591,0.597333333
ora-pg1,ora-pg,d,1,control,2,0.593,0.602,0.595,0.596666667
ora-pg2,ora-pg,d,2,control,2,0.566,0.615,0.589,0.59
ora-pg3,ora-pg,d,3,control,2,0.572,0.601,0.581,0.584666667
ora-pg4,ora-pg,d,1,heat,2,0.556,0.574,0.577,0.569
ora-pg5,ora-pg,d,2,heat,2,0.589,0.587,0.613,0.596333333
ora-pg6,ora-pg,d,3,heat,2,0.579,0.585,0.568,0.577333333
ecg1,ecg,d,1,control,2,0.599,0.609,0.618,0.608666667
ecg2,ecg,d,2,control,2,0.605,0.608,0.599,0.604
ecg3,ecg,d,3,control,2,0.635,0.625,0.612,0.624
ecg4,ecg,d,1,heat,2,0.585,0.589,0.603,0.592333333
ecg5,ecg,d,2,heat,2,0.623,0.606,0.605,0.611333333
ecg6,ecg,d,3,heat,2,0.614,0.601,0.581,0.598666667
eca-h1,eca-h,c,1,control,3,0.554,0.637,0.581,0.590666667
eca-h2,eca-h,c,2,control,3,0.614,0.599,0.611,0.608
eca-h3,eca-h,c,3,control,3,0.6,0.581,0.627,0.602666667
eca-h4,eca-h,c,1,heat,3,0.62,0.586,0.588,0.598
eca-h5,eca-h,c,2,heat,3,0.569,0.608,0.59,0.589
eca-h6,eca-h,c,3,heat,3,0.609,0.617,0.578,0.601333333
ora-pg1,ora-pg,d,1,control,3,0.51,0.604,0.653,0.589
ora-pg2,ora-pg,d,2,control,3,0.571,0.613,0.602,0.595333333
ora-pg3,ora-pg,d,3,control,3,0.535,0.585,0.61,0.576666667
ora-pg4,ora-pg,d,1,heat,3,0.579,0.552,0.538,0.556333333
ora-pg5,ora-pg,d,2,heat,3,0.595,0.583,0.596,0.591333333
ora-pg6,ora-pg,d,3,heat,3,0.576,0.602,0.568,0.582
ecg1,ecg,d,1,control,3,0.592,0.641,0.582,0.605
