Genotype,Treatment,Genotype,Algae_type,Gen_Algae
eca-h,Control,gen1_,C,gen1_C
eca-h,Control,gen1_,C,gen1_C
eca-h,Control,gen1_,C,gen1_C
eca-h,Heat,gen1_,C,gen1_C
eca-h,Heat,gen1_,C,gen1_C
eca-h,Heat,gen1_,C,gen1_C
ecg,Control,gen4_,D,gen4_D
ecg,Control,gen4_,D,gen4_D
ecg,Control,gen4_,D,gen4_D
ecg,Heat,gen4_,D,gen4_D
ecg,Heat,gen4_,D,gen4_D
ecg,Heat,gen4_,D,gen4_D
ora-pg,Control,gen3_,D,gen3_D
ora-pg,Control,gen3_,D,gen3_D
ora-pg,Control,gen3_,D,gen3_D
ora-pg,Heat,gen3_,D,gen3_D
ora-pg,Heat,gen3_,D,gen3_D
ora-pg,Heat,gen3_,D,gen3_D
