	ECAH1	ECAH2	ECAH3	P2_a	P2_b	P2_c	ECG1	ECG2	ECG3	ORAPG1	ORAPG2	ORAPG3	P3_a	P3_b	P3_c
Pocillopora_acuta_HIv2___RNAseq.10002_t	13	5	5	2	5	5	7	5	8	2	1	0	12	8	10
Pocillopora_acuta_HIv2___RNAseq.10010_t	20	9	11	9	19	22	20	22	7	8	12	10	27	8	6
Pocillopora_acuta_HIv2___RNAseq.1016_t	3	0	1	4	5	6	1	0	1	0	0	0	1	0	3
Pocillopora_acuta_HIv2___RNAseq.10171_t	99	77	165	63	34	54	206	140	162	255	299	317	531	262	236
Pocillopora_acuta_HIv2___RNAseq.10212_t	4	7	12	0	6	4	0	1	0	2	6	2	5	2	5
Pocillopora_acuta_HIv2___RNAseq.10213_t	3	2	3	2	1	0	0	0	0	0	1	0	4	3	3
Pocillopora_acuta_HIv2___RNAseq.10263_t	277	158	186	592	632	516	255	301	238	144	182	213	1445	917	1099
Pocillopora_acuta_HIv2___RNAseq.10287_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.10316_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.10405_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.10431_t	17	19	11	21	12	19	31	30	33	17	20	15	59	30	41
Pocillopora_acuta_HIv2___RNAseq.10474_t	26	20	16	26	65	33	31	27	27	22	17	17	78	56	75
Pocillopora_acuta_HIv2___RNAseq.10518_t	24	12	13	21	36	28	19	13	16	19	18	16	72	49	56
Pocillopora_acuta_HIv2___RNAseq.10538_t	2	4	1	0	1	0	2	2	3	2	0	0	3	10	9
Pocillopora_acuta_HIv2___RNAseq.10610_t	2	1	1	3	5	3	4	4	3	3	3	2	7	5	3
Pocillopora_acuta_HIv2___RNAseq.10616_t	8	6	7	7	8	10	5	3	5	4	3	4	10	9	8
Pocillopora_acuta_HIv2___RNAseq.10655_t	8	1	4	1	7	8	7	10	12	5	6	8	11	13	9
Pocillopora_acuta_HIv2___RNAseq.10794_t	10	8	12	12	12	14	31	22	21	5	4	9	46	26	35
Pocillopora_acuta_HIv2___RNAseq.10844_t	1	0	0	2	3	2	1	0	1	0	0	0	3	2	2
Pocillopora_acuta_HIv2___RNAseq.10893_t	0	0	0	2	7	3	2	0	1	0	1	2	5	1	8
Pocillopora_acuta_HIv2___RNAseq.10922_t	94	56	66	85	97	109	45	49	43	41	65	48	226	155	182
Pocillopora_acuta_HIv2___RNAseq.10924_t	1	1	1	0	0	2	7	4	2	1	0	0	4	2	4
Pocillopora_acuta_HIv2___RNAseq.10959_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.10969_t	2	1	2	2	3	0	0	2	0	0	4	0	5	3	0
Pocillopora_acuta_HIv2___RNAseq.11055_t	2	1	5	5	9	11	1	3	2	2	3	4	15	4	9
Pocillopora_acuta_HIv2___RNAseq.11056_t	24	19	10	8	58	57	14	14	18	9	11	11	127	63	91
Pocillopora_acuta_HIv2___RNAseq.11061_t	21	9	8	6	8	6	3	11	10	2	2	2	10	6	4
Pocillopora_acuta_HIv2___RNAseq.11228_t	2	2	1	1	0	0	1	2	0	0	0	0	1	1	4
Pocillopora_acuta_HIv2___RNAseq.11263_t	2	2	2	6	7	8	2	3	3	3	4	2	18	12	20
Pocillopora_acuta_HIv2___RNAseq.11267_t	8	3	5	1	2	3	3	6	3	5	2	4	7	4	4
Pocillopora_acuta_HIv2___RNAseq.11323_t	79	81	57	73	48	69	79	81	132	104	113	117	208	104	86
Pocillopora_acuta_HIv2___RNAseq.11390_t	2	7	2	2	6	5	12	6	5	4	3	2	15	4	18
Pocillopora_acuta_HIv2___RNAseq.11479_t	18	13	15	12	19	12	6	7	6	7	2	11	27	14	21
Pocillopora_acuta_HIv2___RNAseq.11504_t	251	204	189	506	611	652	228	211	243	209	189	187	1097	686	936
Pocillopora_acuta_HIv2___RNAseq.11590_t	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.11610_t	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.11667_t	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1
Pocillopora_acuta_HIv2___RNAseq.11672_t	3	1	5	5	3	2	13	8	7	9	19	19	40	28	43
Pocillopora_acuta_HIv2___RNAseq.11679_t	52	33	35	60	99	72	67	60	62	54	65	64	186	108	161
Pocillopora_acuta_HIv2___RNAseq.11750_t	20	9	5	4	10	15	6	15	29	6	4	3	25	11	7
Pocillopora_acuta_HIv2___RNAseq.1177_t	12	8	7	11	17	20	14	17	10	8	3	15	45	26	26
Pocillopora_acuta_HIv2___RNAseq.11796_t	3	3	1	1	1	3	4	5	4	5	1	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1179_t	21	16	19	17	21	22	21	17	10	21	27	23	37	29	41
Pocillopora_acuta_HIv2___RNAseq.11847_t	91	90	93	25	18	27	97	82	68	59	84	75	76	55	77
Pocillopora_acuta_HIv2___RNAseq.11901_t	47	37	32	33	70	87	34	29	39	23	24	33	144	67	80
Pocillopora_acuta_HIv2___RNAseq.11917_t	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
Pocillopora_acuta_HIv2___RNAseq.12179_t	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.12227_t	1	2	2	1	1	1	4	5	2	0	1	1	7	1	4
Pocillopora_acuta_HIv2___RNAseq.12294_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.12371_t	7	8	10	6	9	13	14	22	14	5	7	5	19	12	11
Pocillopora_acuta_HIv2___RNAseq.1237_t	8	6	4	30	34	23	5	6	11	4	4	6	61	20	35
Pocillopora_acuta_HIv2___RNAseq.123_t	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.12432_t	30	18	20	12	12	10	20	19	18	8	12	13	27	15	20
Pocillopora_acuta_HIv2___RNAseq.12434_t	5	2	7	2	5	10	7	7	9	0	4	2	19	7	6
Pocillopora_acuta_HIv2___RNAseq.12516_t	20	21	13	77	94	83	18	24	25	17	18	25	177	88	116
Pocillopora_acuta_HIv2___RNAseq.12574_t	6	1	4	6	3	2	1	5	6	3	6	3	13	7	8
Pocillopora_acuta_HIv2___RNAseq.12608_t	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2
Pocillopora_acuta_HIv2___RNAseq.12612_t	2	0	0	16	15	3	2	5	13	5	5	4	29	28	24
Pocillopora_acuta_HIv2___RNAseq.1261_t	8	6	3	7	19	12	8	7	7	5	0	7	23	13	11
Pocillopora_acuta_HIv2___RNAseq.12645_ta	5	2	3	0	0	1	3	1	1	4	3	1	7	3	3
Pocillopora_acuta_HIv2___RNAseq.12645_tb	4	3	2	1	0	0	0	0	0	1	0	0	1	1	0
Pocillopora_acuta_HIv2___RNAseq.12690_t	13	11	4	4	4	3	13	9	22	9	6	11	2	6	6
Pocillopora_acuta_HIv2___RNAseq.12706_t	1	0	1	0	0	1	1	0	1	0	1	1	0	1	2
Pocillopora_acuta_HIv2___RNAseq.1270_t	1	2	4	6	5	4	1	1	2	4	1	4	13	5	11
Pocillopora_acuta_HIv2___RNAseq.1271_t	29	21	19	22	28	37	28	16	49	24	22	18	100	55	76
Pocillopora_acuta_HIv2___RNAseq.12755_t	3	1	0	2	1	1	4	3	2	1	2	1	5	0	3
Pocillopora_acuta_HIv2___RNAseq.12803_t	7	10	5	25	20	24	13	5	3	6	3	0	58	31	57
Pocillopora_acuta_HIv2___RNAseq.1283_t	4	2	6	27	46	24	0	3	1	3	1	3	36	16	35
