	ECAH1	ECAH2	ECAH3	ECAH4	ECAH5	ECAH6	ECG1	ECG2	ECG3	ECG4	ECG5	ECG6	ORAPG1	ORAPG2	ORAPG3	ORAPG4	ORAPG5	ORAPG6
Pocillopora_acuta_HIv2___RNAseq.10002_t	13	5	5	11	4	7	7	5	8	7	5	6	2	1	0	0	1	0
Pocillopora_acuta_HIv2___RNAseq.10010_t	20	9	11	13	9	11	20	22	7	10	16	14	8	12	10	31	3	9
Pocillopora_acuta_HIv2___RNAseq.1016_t	3	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.10171_t	99	77	165	99	107	41	206	140	162	85	82	95	255	299	317	236	395	87
Pocillopora_acuta_HIv2___RNAseq.10212_t	4	7	12	2	3	6	0	1	0	0	0	2	2	6	2	0	2	1
Pocillopora_acuta_HIv2___RNAseq.10213_t	3	2	3	4	2	4	0	0	0	0	0	0	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.10263_t	277	158	186	91	103	109	255	301	238	154	171	129	144	182	213	185	194	129
Pocillopora_acuta_HIv2___RNAseq.10287_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.10316_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.10405_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.10431_t	17	19	11	26	14	13	31	30	33	11	24	15	17	20	15	19	19	16
Pocillopora_acuta_HIv2___RNAseq.10474_t	26	20	16	16	37	26	31	27	27	54	54	40	22	17	17	12	19	7
Pocillopora_acuta_HIv2___RNAseq.10518_t	24	12	13	27	11	18	19	13	16	8	5	8	19	18	16	15	9	9
Pocillopora_acuta_HIv2___RNAseq.10538_t	2	4	1	4	7	1	2	2	3	5	6	1	2	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.10610_t	2	1	1	1	1	3	4	4	3	2	0	0	3	3	2	4	1	1
Pocillopora_acuta_HIv2___RNAseq.10616_t	8	6	7	4	3	7	5	3	5	1	3	1	4	3	4	4	4	5
Pocillopora_acuta_HIv2___RNAseq.10655_t	8	1	4	5	5	6	7	10	12	9	7	8	5	6	8	14	6	3
Pocillopora_acuta_HIv2___RNAseq.10794_t	10	8	12	8	7	6	31	22	21	5	10	5	5	4	9	3	6	4
Pocillopora_acuta_HIv2___RNAseq.10844_t	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.10893_t	0	0	0	2	0	0	2	0	1	0	1	0	0	1	2	0	0	2
Pocillopora_acuta_HIv2___RNAseq.10922_t	94	56	66	78	45	82	45	49	43	49	49	34	41	65	48	62	54	42
Pocillopora_acuta_HIv2___RNAseq.10924_t	1	1	1	6	2	3	7	4	2	1	7	1	1	0	0	1	6	2
Pocillopora_acuta_HIv2___RNAseq.10959_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.10969_t	2	1	2	2	1	0	0	2	0	0	0	1	0	4	0	1	0	0
Pocillopora_acuta_HIv2___RNAseq.11055_t	2	1	5	3	0	6	1	3	2	0	3	2	2	3	4	8	4	4
Pocillopora_acuta_HIv2___RNAseq.11056_t	24	19	10	16	15	12	14	14	18	2	1	2	9	11	11	6	6	2
Pocillopora_acuta_HIv2___RNAseq.11061_t	21	9	8	18	5	9	3	11	10	5	2	4	2	2	2	3	3	2
Pocillopora_acuta_HIv2___RNAseq.11228_t	2	2	1	1	0	1	1	2	0	0	1	0	0	0	0	1	1	1
Pocillopora_acuta_HIv2___RNAseq.11263_t	2	2	2	5	2	8	2	3	3	2	1	1	3	4	2	4	3	0
Pocillopora_acuta_HIv2___RNAseq.11267_t	8	3	5	4	4	5	3	6	3	2	0	2	5	2	4	4	3	0
Pocillopora_acuta_HIv2___RNAseq.11323_t	79	81	57	136	110	123	79	81	132	82	78	92	104	113	117	222	208	135
Pocillopora_acuta_HIv2___RNAseq.11390_t	2	7	2	3	0	4	12	6	5	3	2	2	4	3	2	1	1	0
Pocillopora_acuta_HIv2___RNAseq.11479_t	18	13	15	44	16	21	6	7	6	3	5	7	7	2	11	21	14	9
Pocillopora_acuta_HIv2___RNAseq.11504_t	251	204	189	344	224	271	228	211	243	203	208	181	209	189	187	282	257	179
Pocillopora_acuta_HIv2___RNAseq.11590_t	0	4	3	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.11610_t	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.11667_t	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.11672_t	3	1	5	5	4	6	13	8	7	8	6	4	9	19	19	31	22	8
Pocillopora_acuta_HIv2___RNAseq.11679_t	52	33	35	74	61	43	67	60	62	42	67	65	54	65	64	69	82	63
Pocillopora_acuta_HIv2___RNAseq.11750_t	20	9	5	4	4	5	6	15	29	0	0	0	6	4	3	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1177_t	12	8	7	27	9	13	14	17	10	12	13	7	8	3	15	12	15	4
Pocillopora_acuta_HIv2___RNAseq.11796_t	3	3	1	1	0	0	4	5	4	3	1	1	5	1	1	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1179_t	21	16	19	18	12	13	21	17	10	24	10	10	21	27	23	11	15	6
Pocillopora_acuta_HIv2___RNAseq.11847_t	91	90	93	193	77	119	97	82	68	89	92	55	59	84	75	84	119	32
Pocillopora_acuta_HIv2___RNAseq.11901_t	47	37	32	38	14	27	34	29	39	9	16	14	23	24	33	19	18	10
Pocillopora_acuta_HIv2___RNAseq.11917_t	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.12179_t	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	2	0
Pocillopora_acuta_HIv2___RNAseq.12227_t	1	2	2	0	2	1	4	5	2	1	3	4	0	1	1	0	1	0
Pocillopora_acuta_HIv2___RNAseq.12294_t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.12371_t	7	8	10	11	5	5	14	22	14	6	6	2	5	7	5	9	2	1
Pocillopora_acuta_HIv2___RNAseq.1237_t	8	6	4	7	2	6	5	6	11	3	2	3	4	4	6	2	2	0
Pocillopora_acuta_HIv2___RNAseq.123_t	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pocillopora_acuta_HIv2___RNAseq.12432_t	30	18	20	42	35	44	20	19	18	27	22	25	8	12	13	19	26	12
Pocillopora_acuta_HIv2___RNAseq.12434_t	5	2	7	6	9	3	7	7	9	6	3	3	0	4	2	1	1	3
Pocillopora_acuta_HIv2___RNAseq.12516_t	20	21	13	32	12	27	18	24	25	14	20	16	17	18	25	17	32	16
Pocillopora_acuta_HIv2___RNAseq.12574_t	6	1	4	10	4	10	1	5	6	4	1	1	3	6	3	15	7	7
Pocillopora_acuta_HIv2___RNAseq.12608_t	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0
Pocillopora_acuta_HIv2___RNAseq.12612_t	2	0	0	0	1	2	2	5	13	17	16	10	5	5	4	0	0	0
Pocillopora_acuta_HIv2___RNAseq.1261_t	8	6	3	7	4	9	8	7	7	4	7	6	5	0	7	3	4	2
Pocillopora_acuta_HIv2___RNAseq.12645_ta	5	2	3	3	2	4	3	1	1	3	0	0	4	3	1	1	0	0
Pocillopora_acuta_HIv2___RNAseq.12645_tb	4	3	2	1	0	3	0	0	0	0	0	0	1	0	0	0	1	1
