sample,cross,treatment,survivalheat,survivalambient,Zoox,cross
167_1,SBxSB,Ambient,NA,89.16667,C1,SBxSB
167_1,SBxSB,Ambient,NA,89.16667,C1,SBxSB
167_1,SBxSB,Ambient,NA,89.16667,C1,SBxSB
167_2,SBxSB,Ambient,NA,89.16667,C1,SBxSB
167_2,SBxSB,Ambient,NA,89.16667,C1,SBxSB
167_2,SBxSB,Ambient,NA,89.16667,C1,SBxSB
167_3,SBxSB,Ambient,NA,89.16667,C1,SBxSB
167_3,SBxSB,Ambient,NA,89.16667,C1,SBxSB
167_3,SBxSB,Ambient,NA,89.16667,C1,SBxSB
168_1,LSxLS,Ambient,NA,96.66667,D1,LSxLS
168_1,LSxLS,Ambient,NA,96.66667,D1,LSxLS
168_1,LSxLS,Ambient,NA,96.66667,D1,LSxLS
168_2,LSxLS,Ambient,NA,96.66667,D1,LSxLS
168_2,LSxLS,Ambient,NA,96.66667,D1,LSxLS
168_2,LSxLS,Ambient,NA,96.66667,D1,LSxLS
168_3,LSxLS,Ambient,NA,96.66667,D1,LSxLS
168_3,LSxLS,Ambient,NA,96.66667,D1,LSxLS
168_3,LSxLS,Ambient,NA,96.66667,D1,LSxLS
175_1,DRxDR,Ambient,NA,95.83333,C1,DRxDR
175_1,DRxDR,Ambient,NA,95.83333,C1,DRxDR
175_1,DRxDR,Ambient,NA,95.83333,C1,DRxDR
175_2,DRxDR,Ambient,NA,95.83333,C1,DRxDR
175_2,DRxDR,Ambient,NA,95.83333,C1,DRxDR
175_2,DRxDR,Ambient,NA,95.83333,C1,DRxDR
175_3,DRxDR,Ambient,NA,95.83333,C1,DRxDR
175_3,DRxDR,Ambient,NA,95.83333,C1,DRxDR
175_3,DRxDR,Ambient,NA,95.83333,C1,DRxDR
187_1,CUxCU,Ambient,NA,96.66667,D1,CUxCU
187_1,CUxCU,Ambient,NA,96.66667,D1,CUxCU
187_1,CUxCU,Ambient,NA,96.66667,D1,CUxCU
187_2,CUxCU,Ambient,NA,96.66667,D1,CUxCU
187_2,CUxCU,Ambient,NA,96.66667,D1,CUxCU
187_2,CUxCU,Ambient,NA,96.66667,D1,CUxCU
187_3,CUxCU,Ambient,NA,96.66667,D1,CUxCU
187_3,CUxCU,Ambient,NA,96.66667,D1,CUxCU
187_3,CUxCU,Ambient,NA,96.66667,D1,CUxCU
