"","I01S01C01POC","I01S01C06POC","I01S01C10POC","I01S02C01POC","I01S02C06POC","I01S02C10POC","I01S03C06POC","I01S03C10POC","I02S01C01POC","I02S01C06POC","I02S01C10POC","I02S02C01POC","I02S02C06POC","I02S02C10POC","I02S03C01POC","I02S03C06POC","I02S03C10POC","I03S01C12POC","I03S01C13POC","I03S01C14POC","I03S01C17POC","I03S01C18POC","I03S01C19POC","I05S01C01POC","I05S01C06POC","I05S03C10POC","I06S01C10POC","I06S02C10POC"
"Pmea_00004331;_3445",2000,1508,1509,1031,1015,378,611,965,742,570,443,799,1254,1087,1305,1026,1966,2091,987,1228,864,1202,1347,2212,2791,3212,1873,679
"Pmea_00011194;_1860",4,18,7,7,3,9,10,6,11,8,2,0,8,9,9,7,12,6,14,4,3,0,11,0,2,2,6,21
"Pmea_00024455;_3868",5222,4337,4057,5063,2706,4425,2326,3014,2724,2757,2042,2444,4042,3481,4861,4583,5227,5724,3440,3872,4552,4304,5819,5353,5409,7538,3203,2069
"Pmea_00016549;_7889",15192,9023,7138,6531,5743,4752,6763,6527,7257,6355,5680,6027,5320,9106,8409,6716,13506,17777,10523,9367,9283,9133,12081,11466,14926,18003,12596,7200
"Pmea_00006497;_5230",11093,15559,22075,17936,21644,13692,20201,12408,16095,18177,13233,13648,12884,19044,15270,19527,15907,16853,12588,21444,13653,9779,13577,25028,43164,31126,23734,31215
"Pmea_00015934;_1962",11808,8933,7420,15254,11539,12455,13840,22776,11516,14058,21814,13955,23431,12992,12610,9276,15352,12546,8316,8291,10172,10732,12551,11383,9801,13802,17331,11258
"Pmea_00018431;_687",5,0,0,5,0,2,0,0,0,1,0,0,6,0,0,0,2,1,1,0,1,0,2,5,0,0,2,0
"Pmea_00014336;_1562",1202,1634,1182,1350,1325,2323,1225,902,1127,1069,1701,1112,1301,1571,992,904,1371,1675,931,1107,1482,1175,1150,1616,1724,1933,1168,1527
"Pmea_00028826;_894",2296,1874,1473,1637,1650,1900,1003,866,1084,1497,1292,1790,1741,1989,1589,1170,1893,2289,1244,1541,1467,1507,1607,1654,2647,2272,1151,1126
"Pmea_00008164;_1015",355,264,138,144,130,164,165,141,166,48,36,121,212,84,314,161,343,229,123,172,131,166,170,316,476,542,131,67
"Pmea_00010418;_12693",4223,1974,1833,2054,993,1421,1642,1292,1983,1072,753,1119,2362,2064,4058,1821,3484,2150,1593,2381,2198,1927,3349,3810,4639,6081,1870,1051
"Pmea_00009425;_369",8,0,1,9,1,11,5,2,1,6,19,0,11,0,5,2,22,4,8,12,8,1,18,8,10,5,0,1
"Pmea_00010451;_3565",6072,3876,3841,3883,2098,3387,1899,2100,2503,2582,2124,2674,3278,3230,2956,2574,4467,3337,2527,4080,2721,2518,2749,4571,5651,5171,2808,1981
"Pmea_00028123;_648",3223,2047,1256,1589,309,1219,1222,1590,1274,1174,1314,1166,1521,2775,1451,1802,2374,2948,1553,2468,1284,1546,1409,3017,5954,3995,3184,1384
"Pmea_00028149;_738",8,8,11,7,4,7,2,8,7,10,3,4,11,5,17,7,7,17,2,6,11,4,9,4,12,15,25,12
"Pmea_00004580;_5370",273,233,238,238,106,85,108,149,227,137,117,207,290,240,466,226,556,220,235,335,217,105,387,340,698,865,387,207
"Pmea_00023766;_594",0,74,82,0,74,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pmea_00016508;_381",43,18,92,8,11,15,10,5,13,4,13,9,14,14,7,9,28,10,4,9,18,7,27,2,15,16,9,4
"Pmea_00013209;_762",36,193,83,11,20,19,34,48,44,13,15,10,31,33,39,12,28,30,7,7,20,30,3,28,42,42,35,53
